c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28;c29;c30;c31;c32;c33;c34;c35;c36;c37;c38;c39;c40;c41;c42;c43;c44;c45;c46;c47;c48;c49
7953;8752;9025;8772;7982;6737;5075;3121;981;-1225;-3346;-5280;-6892;-8099;-8823;-9024;-8686;-7835;-6519;-4811;-2824;-661;1532;3643;5530;7094;8234;8882;9010;8595;7672;6298;4538;2524;344;-1843;-3930;-5778;-7284;-8359;-8934;-8981;-8496;-7500;-6065;-4265;-2213;-33;2156;4209
6019;7467;8472;8976;8942;8383;7320;5826;3984;1906;-287;-2457;-4492;-6247;-7642;-8576;-9003;-8897;-8257;-7132;-5579;-3699;-1593;599;2766;4758;6475;7806;8668;9021;8837;8123;6936;5326;3406;1284;-918;-3062;-5027;-6691;-7958;-8754;-9026;-8768;-7980;-6728;-5068;-3111;-970;1233
3356;5289;6898;8105;8821;9028;8679;7835;6506;4808;2810;655;-1546;-3650;-5538;-7100;-8237;-8888;-9006;-8593;-7667;-6290;-4530;-2512;-336;1855;3937;5786;7292;8359;8941;8977;8491;7497;6054;4260;2203;20;-2163;-4220;-6026;-7472;-8476;-8976;-8943;-8377;-7316;-5817;-3975;-1896
295;2471;4495;6259;7644;8582;9003;8895;8253;7126;5571;3689;1585;-610;-2774;-4768;-6483;-7807;-8675;-9019;-8836;-8120;-6927;-5320;-3397;-1273;929;3070;5036;6697;7963;8756;9028;8762;7979;6718;5061;3102;960;-1244;-3366;-5296;-6905;-8106;-8831;-9019;-8683;-7825;-6502;-4799
-2799;-645;1554;3660;5547;7106;8242;8887;9008;8587;7666;6277;4526;2500;327;-1866;-3946;-5794;-7297;-8363;-8941;-8977;-8489;-7490;-6047;-4250;-2193;-12;2175;4229;6032;7480;8477;8980;8938;8377;7306;5812;3965;1886;-304;-2482;-4504;-6267;-7649;-8585;-9003;-8894;-8248;-7121
-5563;-3680;-1576;624;2780;4780;6486;7817;8673;9024;8832;8116;6919;5313;3386;1266;-940;-3081;-5044;-6704;-7968;-8757;-9029;-8759;-7975;-6711;-5053;-3092;-950;1253;3376;5304;6911;8112;8831;9020;8681;7817;6500;4784;2796;630;-1563;-3667;-5558;-7109;-8248;-8888;-9007;-8585
-7659;-6271;-4516;-2490;-317;1874;3956;5801;7303;8371;8937;8979;8484;7483;6044;4237;2184;3;-2187;-4234;-6043;-7482;-8485;-8977;-8940;-8369;-7303;-5804;-3955;-1878;318;2487;4516;6270;7660;8583;9007;8890;8246;7113;5557;3667;1569;-633;-2794;-4783;-6500;-7816;-8680;-9022
-8830;-8112;-6914;-5303;-3378;-1253;947;3092;5050;6713;7972;8761;9027;8759;7968;6705;5045;3083;938;-1260;-3389;-5309;-6920;-8115;-8833;-9020;-8679;-7812;-6492;-4776;-2786;-621;1572;3680;5562;7119;8249;8893;9003;8585;7651;6266;4508;2478;310;-1888;-3961;-5813;-7305;-8376
-8940;-8976;-8483;-7475;-6037;-4229;-2175;10;2193;4247;6048;7489;8487;8979;8937;8369;7294;5797;3946;1868;-326;-2501;-4521;-6282;-7658;-8593;-9004;-8889;-8243;-7105;-5549;-3661;-1553;638;2806;4791;6505;7824;8680;9025;8824;8110;6907;5294;3372;1240;-956;-3102;-5059;-6718
-7978;-8762;-9028;-8756;-7962;-6702;-5032;-3076;-928;1274;3393;5321;6925;8121;8834;9021;8674;7808;6485;4768;2775;612;-1584;-3688;-5569;-7127;-8251;-8896;-9003;-8581;-7645;-6260;-4496;-2473;-296;1895;3973;5818;7313;8378;8942;8976;8477;7473;6026;4221;2165;-19;-2204;-4256
