c0;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28;c29;c30;c31;c32;c33;c34;c35;c36;c37;c38;c39;c40;c41;c42;c43;c44;c45;c46;c47;c48;c49
-1367;-3373;-5196;-6747;-7940;-8711;-9022;-8854;-8221;-7145;-5701;-3942;-1988;82;2141;4090;5822;7244;8285;8884;9014;8671;7857;6643;5061;3223;1209;-868;-2901;-4775;-6404;-7686;-8566;-8990;-8940;-8413;-7445;-6078;-4393;-2474;-422;1649;3634;5430;6930;8075;8778;9031;8792;8098
6969;5474;3687;1706;-367;-2417;-4344;-6034;-7414;-8392;-8931;-8997;-8581;-7719;-6441;-4826;-2954;-924;1150;3170;5015;6601;7832;8652;9012;8894;8309;7276;5868;4138;2201;134;-1925;-3898;-5650;-7113;-8196;-8842;-9026;-8724;-7969;-6782;-5245;-3423;-1427;653;2689;4594;6243;7573
8492;8970;8966;8491;7565;6239;4582;2682;642;-1437;-3430;-5256;-6787;-7974;-8727;-9024;-8843;-8189;-7107;-5646;-3885;-1920;148;2207;4150;5872;7285;8310;8896;9012;8649;7827;6594;5008;3160;1143;-936;-2962;-4835;-6448;-7723;-8587;-8995;-8931;-8389;-7406;-6030;-4332;-2411;-354
1714;3697;5481;6976;8101;8797;9028;8779;8067;6927;5420;3626;1640;-432;-2484;-4401;-6085;-7452;-8415;-8942;-8990;-8561;-7684;-6394;-4768;-2892;-856;1216;3234;5068;6650;7863;8672;9016;8881;8282;7238;5814;4082;2132;71;-1996;-3954;-5706;-7152;-8223;-8857;-9022;-8708;-7936
-6738;-5191;-3362;-1358;716;2758;4646;6296;7606;8517;8976;8958;8470;7527;6191;4524;2617;576;-1503;-3494;-5307;-6836;-7999;-8750;-9021;-8832;-8160;-7067;-5590;-3828;-1852;213;2274;4208;5925;7322;8339;8905;9010;8626;7798;6544;4955;3095;1077;-1003;-3025;-4892;-6494;-7756
-8610;-8997;-8925;-8360;-7370;-5979;-4273;-2347;-287;1781;3756;5537;7015;8133;8810;9029;8762;8037;6883;5367;3564;1574;-500;-2547;-4459;-6135;-7488;-8443;-8948;-8984;-8541;-7646;-6349;-4710;-2827;-792;1285;3294;5127;6692;7898;8689;9019;8870;8254;7199;5761;4023;2066;6
-2061;-4016;-5756;-7196;-8248;-8871;-9018;-8692;-7901;-6696;-5135;-3299;-1293;785;2819;4705;6343;7642;8539;8982;8951;8444;7492;6141;4466;2553;509;-1568;-3558;-5358;-6883;-8028;-8767;-9022;-8818;-8129;-7027;-5537;-3766;-1787;281;2337;4267;5976;7362;8362;8919;9000;8612;7759
6501;4898;3030;1012;-1070;-3090;-4944;-6546;-7786;-8632;-9003;-8911;-8338;-7328;-5931;-4213;-2282;-219;1843;3821;5585;7062;8158;8828;9023;8750;8003;6843;5311;3502;1509;-570;-2607;-4522;-6182;-7525;-8466;-8956;-8979;-8516;-7613;-6298;-4655;-2764;-722;1348;3358;5183;6734;7933
8706;9020;8861;8223;7160;5710;3961;2003;-65;-2124;-4075;-5810;-7231;-8281;-8879;-9018;-8672;-7870;-6649;-5080;-3237;-1227;852;2884;4761;6391;7677;8561;8990;8939;8423;7452;6092;4409;2488;443;-1636;-3616;-5417;-6920;-8063;-8781;-9024;-8801;-8104;-6978;-5490;-3701;-1723;348
2403;4327;6024;7401;8387;8930;8995;8590;7725;6455;4840;2971;940;-1133;-3152;-5004;-6585;-7828;-8645;-9011;-8898;-8312;-7291;-5876;-4159;-2211;-159;1917;3874;5644;7099;8188;8843;9020;8734;7973;6796;5259;3440;1442;-634;-2676;-4575;-6235;-7559;-8490;-8966;-8968;-8498;-7574
-6251;-4597;-2699;-657;1416;3419;5238;6779;7964;8724;9023;8845;8199;7116;5659;3901;1935;-129;-2191;-4135;-5859;-7275;-8303;-8895;-9009;-8657;-7834;-6606;-5023;-3174;-1161;919;2947;4819;6436;7715;8579;8998;8930;8396;7416;6041;4350;2424;375;-1700;-3680;-5467;-6965;-8092
-8795;-9026;-8784;-8076;-6935;-5437;-3639;-1658;416;2466;4386;6073;7442;8410;8939;8990;8569;7691;6407;4782;2908;874;-1200;-3215;-5059;-6632;-7859;-8665;-9015;-8886;-8287;-7248;-5829;-4095;-2151;-86;1978;3938;5693;7142;8216;8853;9023;8711;7946;6748;5207;3376;1377;-701
-2739;-4634;-6280;-7601;-8508;-8975;-8961;-8472;-7542;-6198;-4544;-2630;-595;1487;3477;5294;6822;7996;8740;9026;8832;8168;7078;5603;3844;1868;-195;-2258;-4193;-5911;-7313;-8332;-8903;-9009;-8634;-7803;-6559;-4968;-3110;-1095;986;3009;4876;6485;7746;8604;8998;8923;8372;7375
5995;4287;2364;304;-1763;-3744;-5518;-7010;-8120;-8811;-9025;-8769;-8044;-6895;-5379;-3582;-1589;481;2532;4444;6124;7475;8439;8944;8988;8545;7656;6359;4727;2842;811;-1270;-3277;-5114;-6678;-7892;-8682;-9020;-8873;-8260;-7211;-5773;-4040;-2080;-26;2048;3996;5747;7181;8245
8865;9021;8695;7912;6705;5150;3315;1309;-765;-2806;-4689;-6330;-7635;-8531;-8983;-8951;-8452;-7499;-6156;-4480;-2571;-524;1550;3541;5347;6867;8026;8757;9027;8817;8140;7034;5553;3780;1805;-264;-2320;-4253;-5962;-7353;-8355;-8916;-9002;-8617;-7766;-6516;-4908;-3052;-1023;1048
3077;4930;6531;7781;8624;9002;8917;8340;7344;5936;4236;2293;241;-1831;-3802;-5575;-7048;-8152;-8824;-9023;-8756;-8010;-6854;-5323;-3521;-1523;547;2598;4501;6173;7516;8458;8957;8978;8524;7622;6310;4670;2779;742;-1335;-3339;-5169;-6724;-7922;-8705;-9018;-8863;-8232;-7167
-5727;-3973;-2023;52;2103;4064;5792;7226;8271;8876;9019;8676;7878;6665;5089;3257;1241;-835;-2865;-4750;-6376;-7669;-8556;-8986;-8945;-8426;-7464;-6104;-4423;-2506;-458;1616;3603;5401;6911;8055;8775;9026;8804;8111;6992;5500;3720;1737;-328;-2389;-4309;-6014;-7388;-8385
-8921;-9003;-8590;-7738;-6464;-4857;-2984;-961;1119;3135;4989;6576;7818;8639;9012;8898;8322;7298;5892;4171;2231;172;-1896;-3863;-5626;-7091;-8183;-8833;-9028;-8733;-7983;-6808;-5271;-3456;-1460;617;2659;4561;6222;7551;8483;8964;8970;8504;7583;6265;4610;2716;676;-1402
-3399;-5227;-6766;-7957;-8718;-9025;-8846;-8209;-7125;-5674;-3915;-1954;114;2173;4119;5847;7264;8297;8891;9012;8660;7844;6618;5034;3195;1174;-900;-2930;-4808;-6420;-7709;-8573;-8995;-8933;-8404;-7423;-6057;-4363;-2441;-392;1682;3666;5451;6957;8083;8792;9025;8790;8080;6951
5445;3660;1672;-397;-2452;-4369;-6063;-7427;-8409;-8933;-8994;-8573;-7700;-6419;-4799;-2922;-893;1184;3199;5044;6621;7850;8662;9012;8891;8292;7261;5839;4113;2165;106;-1963;-3923;-5679;-7132;-8209;-8849;-9025;-8715;-7953;-6762;-5217;-3395;-1392;683;2723;4620;6268;7590;8504
8973;8961;8482;7546;6216;4553;2652;608;-1467;-3462;-5281;-6810;-7987;-8738;-9023;-8837;-8176;-7087;-5618;-3858;-1886;178;2241;4177;5898;7303;8324;8901;9010;8639;7811;6572;4980;3130;1108;-965;-2996;-4860;-6473;-7739;-8595;-9000;-8925;-8378;-7387;-6005;-4303;-2381;-319;1743
3730;5505;6997;8115;8805;9026;8773;8051;6906;5395;3594;1609;-467;-2513;-4429;-6112;-7467;-8429;-8947;-8984;-8554;-7664;-6371;-4742;-2858;-827;1252;3260;5101;6666;7883;8680;9015;8880;8264;7222;5787;4054;2100;39;-2028;-3983;-5731;-7174;-8234;-8866;-9017;-8704;-7916;-6720
-5162;-3331;-1327;750;2787;4677;6316;7627;8525;8980;8955;8456;7512;6165;4496;2588;540;-1531;-3527;-5334;-6854;-8020;-8752;-9026;-8822;-8147;-7045;-5567;-3795;-1822;247;2302;4241;5946;7345;8348;8913;9005;8619;7779;6523;4928;3063;1045;-1036;-3056;-4918;-6517;-7776;-8614
-9006;-8914;-8351;-7350;-5955;-4244;-2315;-255;1812;3788;5559;7041;8142;8820;9027;8754;8024;6860;5342;3532;1544;-534;-2578;-4486;-6162;-7503;-8456;-8951;-8983;-8527;-7632;-6323;-4684;-2796;-759;1317;3325;5152;6716;7911;8700;9019;8864;8242;7177;5738;3992;2035;-28;-2093
-4042;-5784;-7212;-8265;-8875;-9017;-8683;-7884;-6675;-5107;-3269;-1261;818;2851;4733;6365;7660;8550;8984;8949;8429;7477;6114;4440;2521;476;-1600;-3586;-5389;-6897;-8051;-8767;-9029;-8806;-8119;-7003;-5513;-3736;-1754;311;2372;4294;6001;7379;8376;8923;8999;8601;7742;6479
4868;3005;975;-1100;-3121;-4974;-6564;-7808;-8636;-9009;-8904;-8326;-7311;-5901;-4189;-2247;-190;1880;3846;5616;7076;8177;8830;9028;8737;7991;6819;5285;3472;1476;-601;-2642;-4545;-6211;-7539;-8481;-8957;-8977;-8505;-7596;-6274;-4627;-2732;-692;1382;3388;5209;6758;7946;8715
9024;8851;8213;7138;5684;3935;1967;-94;-2160;-4102;-5834;-7253;-8292;-8886;-9014;-8665;-7851;-6631;-5050;-3208;-1193;883;2916;4789;6413;7696;8570;8992;8937;8407;7437;6067;4379;2459;407;-1666;-3646;-5444;-6939;-8081;-8785;-9026;-8794;-8087;-6961;-5462;-3671;-1692;382;2434
4355;6050;7419;8400;8932;8995;8579;7708;6433;4810;2941;910;-1168;-3182;-5030;-6611;-7840;-8657;-9011;-8894;-8299;-7272;-5852;-4126;-2185;-120;1942;3911;5663;7123;8200;8847;9024;8722;7959;6775;5230;3411;1410;-666;-2707;-4604;-6259;-7577;-8500;-8970;-8965;-8486;-7557;-6226
-4570;-2666;-626;1449;3450;5262;6803;7977;8733;9026;8836;8186;7096;5633;3873;1903;-162;-2223;-4163;-5884;-7294;-8316;-8900;-9010;-8644;-7821;-6582;-4995;-3147;-1124;947;2980;4846;6460;7732;8589;8999;8926;8384;7398;6018;4319;2395;340;-1730;-3711;-5494;-6984;-8110;-8798
-9030;-8773;-8063;-6914;-5409;-3611;-1625;448;2498;4415;6098;7457;8426;8939;8991;8555;7676;6382;4758;2872;846;-1235;-3246;-5083;-6659;-7872;-8675;-9016;-8881;-8273;-7231;-5802;-4067;-2119;-53;2007;3971;5715;7164;8230;8858;9023;8702;7930;6727;5180;3344;1347;-737;-2766
-4665;-6302;-7619;-8518;-8979;-8957;-8462;-7521;-6178;-4511;-2604;-559;1518;3508;5320;6845;8007;8753;9023;8827;8154;7055;5582;3809;1841;-232;-2286;-4222;-5938;-7330;-8345;-8908;-9007;-8624;-7788;-6535;-4940;-3082;-1060;1017;3041;4904;6505;7765;8613;9001;8919;8357;7359;5968
4261;2329;274;-1796;-3773;-5545;-7030;-8134;-8819;-9023;-8764;-8025;-6877;-5352;-3551;-1558;516;2561;4472;6149;7494;8450;8948;8984;8535;7638;6338;4697;2812;777;-1302;-3306;-5142;-6700;-7907;-8691;-9021;-8868;-8246;-7191;-5748;-4009;-2053;14;2072;4032;5767;7204;8258;8871
9018;8689;7891;6689;5118;3287;1278;-802;-2832;-4722;-6351;-7651;-8545;-8983;-8949;-8439;-7482;-6131;-4452;-2540;-490;1580;3574;5370;6892;8037;8768;9025;8812;8125;7014;5528;3748;1775;-299;-2350;-4283;-5985;-7373;-8366;-8924;-8997;-8608;-7751;-6490;-4884;-3020;-991;1081;3105
4960;6552;7798;8633;9006;8908;8332;7319;5918;4202;2265;204;-1859;-3834;-5598;-7068;-8170;-8826;-9027;-8743;-7998;-6830;-5300;-3487;-1494;583;2627;4530;6197;7532;8471;8960;8974;8514;7603;6287;4642;2748;709;-1365;-3372;-5194;-6747;-7938;-8710;-9023;-8855;-8220;-7149;-5697
-3948;-1987;79;2141;4087;5822;7243;8283;8885;9015;8668;7862;6641;5064;3225;1209;-866;-2899;-4774;-6402;-7687;-8563;-8993;-8936;-8418;-7442;-6083;-4391;-2478;-422;1645;3636;5425;6933;8070;8782;9026;8798;8095;6973;5474;3688;1707;-364;-2416;-4341;-6035;-7412;-8391;-8931
-8995;-8584;-7719;-6442;-4828;-2954;-927;1150;3166;5015;6600;7831;8653;9010;8895;8309;7277;5870;4140;2200;140;-1929;-3892;-5651;-7114;-8191;-8846;-9023;-8727;-7967;-6787;-5243;-3429;-1425;650;2688;4592;6242;7571;8493;8968;8967;8491;7567;6239;4584;2684;643;-1434;-3429
-5255;-6785;-7975;-8724;-9027;-8840;-8194;-7104;-5651;-3882;-1927;151;2202;4151;5870;7284;8310;8897;9010;8650;7829;6593;5013;3157;1147;-935;-2961;-4833;-6447;-7723;-8584;-8998;-8929;-8391;-7406;-6031;-4335;-2412;-355;1711;3697;5480;6972;8103;8795;9028;8780;8068;6926;5425
3624;1644;-432;-2482;-4398;-6086;-7449;-8417;-8940;-8990;-8562;-7685;-6395;-4770;-2893;-859;1217;3229;5071;6645;7864;8673;9013;8884;8280;7241;5814;4085;2132;72;-1991;-3956;-5702;-7153;-8224;-8853;-9025;-8707;-7936;-6743;-5188;-3366;-1358;714;2755;4647;6292;7608;8514;8977
8959;8468;7530;6191;4526;2620;575;-1497;-3497;-5303;-6834;-8002;-8744;-9027;-8827;-8165;-7063;-5596;-3826;-1855;210;2274;4205;5925;7321;8337;8907;9007;8630;7796;6546;4956;3097;1077;-998;-3027;-4887;-6497;-7753;-8608;-9001;-8919;-8368;-7365;-5983;-4274;-2347;-292;1782;3754
5534;7018;8126;8816;9024;8766;8036;6884;5368;3567;1574;-496;-2548;-4455;-6137;-7485;-8442;-8949;-8983;-8541;-7649;-6348;-4713;-2829;-791;1281;3293;5127;6687;7900;8687;9020;8869;8257;7196;5766;4024;2066;9;-2061;-4011;-5758;-7192;-8251;-8868;-9019;-8690;-7906;-6694;-5137
-3301;-1293;782;2819;4703;6341;7643;8536;8986;8947;8447;7492;6140;4471;2554;508;-1562;-3561;-5354;-6881;-8031;-8762;-9027;-8814;-8134;-7024;-5541;-3766;-1789;278;2338;4264;5975;7361;8360;8922;8996;8616;7757;6504;4899;3033;1011;-1066;-3089;-4944;-6542;-7789;-8627;-9007
-8907;-8342;-7327;-5932;-4217;-2279;-227;1849;3814;5586;7059;8159;8825;9027;8747;8006;6842;5313;3503;1511;-567;-2609;-4516;-6185;-7522;-8466;-8957;-8977;-8519;-7612;-6301;-4655;-2766;-726;1349;3355;5182;6733;7932;8705;9022;8858;8228;7157;5715;3959;2006;-62;-2124;-4074
-5806;-7234;-8276;-8881;-9018;-8670;-7873;-6649;-5082;-3238;-1229;851;2880;4763;6387;7678;8560;8987;8945;8419;7455;6093;4408;2494;439;-1628;-3620;-5411;-6922;-8062;-8778;-9027;-8800;-8104;-6983;-5487;-3706;-1722;345;2401;4326;6022;7401;8386;8928;8998;8588;7729;6452;4845
2970;944;-1131;-3154;-4998;-6589;-7823;-8646;-9011;-8898;-8313;-7290;-5880;-4156;-2218;-155;1910;3878;5637;7102;8186;8841;9024;8730;7977;6795;5261;3441;1444;-633;-2673;-4575;-6232;-7560;-8487;-8968;-8967;-8499;-7574;-6253;-4599;-2699;-662;1419;3413;5238;6779;7961;8725;9023
8846;8198;7119;5658;3904;1938;-130;-2187;-4135;-5857;-7274;-8304;-8890;-9017;-8649;-7843;-6602;-5026;-3177;-1160;914;2948;4815;6438;7711;8582;8995;8930;8399;7415;6044;4351;2425;377;-1699;-3678;-5466;-6964;-8092;-8793;-9028;-8784;-8074;-6941;-5432;-3646;-1657;413;2465;4385
6073;7438;8413;8935;8995;8565;7695;6407;4784;2910;876;-1200;-3212;-5059;-6630;-7859;-8663;-9016;-8886;-8287;-7252;-5825;-4102;-2147;-93;1978;3938;5689;7144;8213;8854;9022;8714;7943;6754;5203;3380;1378;-699;-2738;-4631;-6283;-7594;-8513;-8972;-8962;-8474;-7539;-6203;-4543
-2633;-597;1486;3475;5294;6821;7994;8741;9025;8832;8171;7075;5610;3839;1877;-201;-2251;-4194;-5909;-7312;-8330;-8905;-9008;-8634;-7805;-6559;-4969;-3115;-1092;981;3010;4873;6483;7747;8601;9001;8922;8372;7378;5992;4293;2363;306;-1761;-3742;-5519;-7006;-8123;-8806;-9030
-8765;-8048;-6892;-5384;-3580;-1594;483;2527;4446;6119;7479;8434;8948;8984;8548;7656;6361;4728;2844;810;-1265;-3279;-5108;-6683;-7885;-8687;-9015;-8877;-8258;-7214;-5772;-4043;-2082;-25;2043;3997;5744;7182;8242;8867;9018;8698;7910;6708;5150;3317;1312;-768;-2800;-4690
-6328;-7633;-8533;-8980;-8954;-8449;-7504;-6154;-4482;-2573;-525;1549;3538;5348;6863;8027;8755;9030;8814;8144;7033;5555;3782;1807;-263;-2319;-4251;-5961;-7350;-8357;-8914;-9005;-8614;-7770;-6515;-4911;-3052;-1026;1048;3073;4929;6531;7781;8620;9007;8910;8348;7339;5943;4232
2298;240;-1827;-3802;-5571;-7050;-8149;-8824;-9026;-8750;-8018;-6847;-5333;-3515;-1529;549;2593;4501;6171;7515;8458;8956;8978;8525;7622;6311;4673;2779;746;-1336;-3336;-5168;-6724;-7920;-8705;-9017;-8865;-8232;-7170;-5726;-3975;-2025;49;2102;4062;5791;7224;8271;8876;9020
8675;7881;6663;5094;3256;1244;-833;-2864;-4749;-6374;-7670;-8553;-8987;-8944;-8429;-7461;-6109;-4421;-2510;-459;1615;3601;5401;6907;8058;8770;9031;8800;8114;6992;5500;3723;1738;-328;-2384;-4311;-6011;-7388;-8383;-8923;-9000;-8593;-7737;-6467;-4856;-2989;-959;1115;3135;4986
